Month,U.S. Field Production of Crude Oil Thousand Barrels per Day
2021/9/1,10809
2021/8/1,11189
2021/7/1,11330
2021/6/1,11288
2021/5/1,11334
2021/4/1,11230
2021/3/1,11160
2021/2/1,9773
2021/1/1,11056
2020/12/1,11084
2020/11/1,11121
2020/10/1,10413
2020/9/1,10868
2020/8/1,10558
2020/7/1,10956
2020/6/1,10420
2020/5/1,9711
2020/4/1,11911
2020/3/1,12816
2020/2/1,12826
2020/1/1,12785
2019/12/1,12910
2019/11/1,12966
2019/10/1,12771
2019/9/1,12572
2019/8/1,12475
2019/7/1,11896
2019/6/1,12179
2019/5/1,12141
2019/4/1,12125
2019/3/1,11899
2019/2/1,11653
2019/1/1,11848
2018/12/1,11924
2018/11/1,11868
2018/10/1,11488
2018/9/1,11422
2018/8/1,11373
2018/7/1,10888
2018/6/1,10628
2018/5/1,10424
2018/4/1,10493
2018/3/1,10461
2018/2/1,10276
2018/1/1,9996
2017/12/1,9979
2017/11/1,10077
2017/10/1,9659
2017/9/1,9516
2017/8/1,9245
2017/7/1,9246
2017/6/1,9110
2017/5/1,9184
2017/4/1,9103
2017/3/1,9168
2017/2/1,9109
2017/1/1,8873
2016/12/1,8814
2016/11/1,8901
2016/10/1,8802
2016/9/1,8542
2016/8/1,8688
2016/7/1,8660
2016/6/1,8672
2016/5/1,8832
2016/4/1,8871
2016/3/1,9088
2016/2/1,9063
2016/1/1,9201
2015/12/1,9275
2015/11/1,9332
2015/10/1,9400
2015/9/1,9480
2015/8/1,9409
2015/7/1,9446
2015/6/1,9358
2015/5/1,9474
2015/4/1,9658
2015/3/1,9582
2015/2/1,9504
2015/1/1,9382
2014/12/1,9564
2014/11/1,9326
2014/10/1,9264
2014/9/1,9086
2014/8/1,8929
2014/7/1,8843
2014/6/1,8743
2014/5/1,8645
2014/4/1,8527
2014/3/1,8297
2014/2/1,8157
2014/1/1,8078
2013/12/1,7934
2013/11/1,7920
2013/10/1,7761
2013/9/1,7839
2013/8/1,7536
2013/7/1,7524
2013/6/1,7279
2013/5/1,7327
2013/4/1,7375
2013/3/1,7215
2013/2/1,7156
2013/1/1,7084
2012/12/1,7105
2012/11/1,7081
2012/10/1,6969
2012/9/1,6597
2012/8/1,6350
2012/7/1,6431
2012/6/1,6275
2012/5/1,6369
2012/4/1,6320
2012/3/1,6326
2012/2/1,6268
2012/1/1,6175
2011/12/1,6112
2011/11/1,6039
2011/10/1,5902
2011/9/1,5614
2011/8/1,5665
2011/7/1,5440
2011/6/1,5589
2011/5/1,5625
2011/4/1,5562
2011/3/1,5618
2011/2/1,5406
2011/1/1,5497
2010/12/1,5607
2010/11/1,5576
2010/10/1,5631
2010/9/1,5616
2010/8/1,5447
2010/7/1,5298
2010/6/1,5380
2010/5/1,5401
2010/4/1,5392
2010/3/1,5515
2010/2/1,5553
2010/1/1,5404
2009/12/1,5452
2009/11/1,5395
2009/10/1,5524
2009/9/1,5559
2009/8/1,5418
2009/7/1,5398
2009/6/1,5269
2009/5/1,5377
2009/4/1,5278
2009/3/1,5219
2009/2/1,5239
2009/1/1,5144
2008/12/1,5103
2008/11/1,5078
2008/10/1,4738
2008/9/1,3974
2008/8/1,5003
2008/7/1,5177
2008/6/1,5138
2008/5/1,5143
2008/4/1,5180
2008/3/1,5189
2008/2/1,5148
2008/1/1,5115
2007/12/1,5111
2007/11/1,5034
2007/10/1,5022
2007/9/1,4902
2007/8/1,4970
2007/7/1,5038
2007/6/1,5075
2007/5/1,5211
2007/4/1,5180
2007/3/1,5119
2007/2/1,5118
2007/1/1,5108
2006/12/1,5186
2006/11/1,5064
2006/10/1,5108
2006/9/1,5031
2006/8/1,5040
2006/7/1,5094
2006/6/1,5163
2006/5/1,5151
2006/4/1,5082
2006/3/1,5027
2006/2/1,5032
2006/1/1,5048
2005/12/1,4988
2005/11/1,4857
2005/10/1,4555
2005/9/1,4214
2005/8/1,5198
2005/7/1,5253
2005/6/1,5442
2005/5/1,5596
2005/4/1,5563
2005/3/1,5601
2005/2/1,5501
2005/1/1,5446
2004/12/1,5510
2004/11/1,5423
2004/10/1,5170
2004/9/1,5081
2004/8/1,5325
2004/7/1,5484
2004/6/1,5407
2004/5/1,5556
2004/4/1,5560
2004/3/1,5617
2004/2/1,5572
2004/1/1,5585
2003/12/1,5571
2003/11/1,5547
2003/10/1,5614
2003/9/1,5609
2003/8/1,5574
2003/7/1,5498
2003/6/1,5659
2003/5/1,5663
2003/4/1,5726
2003/3/1,5803
2003/2/1,5783
2003/1/1,5755
2002/12/1,5722
2002/11/1,5624
2002/10/1,5358
2002/9/1,5411
2002/8/1,5796
2002/7/1,5751
2002/6/1,5884
2002/5/1,5905
2002/4/1,5844
2002/3/1,5886
2002/2/1,5881
2002/1/1,5873
2001/12/1,5887
2001/11/1,5881
2001/10/1,5746
2001/9/1,5709
2001/8/1,5725
2001/7/1,5749
2001/6/1,5766
2001/5/1,5829
2001/4/1,5863
2001/3/1,5880
2001/2/1,5780
2001/1/1,5799
2000/12/1,5855
2000/11/1,5833
2000/10/1,5809
2000/9/1,5758
2000/8/1,5789
2000/7/1,5739
2000/6/1,5823
2000/5/1,5847
2000/4/1,5854
2000/3/1,5918
2000/2/1,5852
2000/1/1,5784
1999/12/1,5959
1999/11/1,5960
1999/10/1,5947
1999/9/1,5804
1999/8/1,5780
1999/7/1,5798
1999/6/1,5760
1999/5/1,5875
1999/4/1,5887
1999/3/1,5883
1999/2/1,5966
1999/1/1,5963
1998/12/1,6043
1998/11/1,6140
1998/10/1,6143
1998/9/1,5789
1998/8/1,6203
1998/7/1,6194
1998/6/1,6267
1998/5/1,6347
1998/4/1,6483
1998/3/1,6408
1998/2/1,6476
1998/1/1,6541
1997/12/1,6531
1997/11/1,6459
1997/10/1,6467
1997/9/1,6486
1997/8/1,6347
1997/7/1,6409
1997/6/1,6442
1997/5/1,6474
1997/4/1,6441
1997/3/1,6452
1997/2/1,6514
1997/1/1,6402
1996/12/1,6506
1996/11/1,6476
1996/10/1,6481
1996/9/1,6482
1996/8/1,6360
1996/7/1,6338
1996/6/1,6458
1996/5/1,6394
1996/4/1,6444
1996/3/1,6571
1996/2/1,6577
1996/1/1,6495
1995/12/1,6530
1995/11/1,6585
1995/10/1,6421
1995/9/1,6416
1995/8/1,6447
1995/7/1,6449
1995/6/1,6579
1995/5/1,6629
1995/4/1,6604
1995/3/1,6600
1995/2/1,6794
1995/1/1,6682
1994/12/1,6760
1994/11/1,6628
1994/10/1,6658
1994/9/1,6609
1994/8/1,6544
1994/7/1,6501
1994/6/1,6611
1994/5/1,6688
1994/4/1,6612
1994/3/1,6746
1994/2/1,6770
1994/1/1,6817
1993/12/1,6858
1993/11/1,6912
1993/10/1,6839
1993/9/1,6712
1993/8/1,6758
1993/7/1,6688
1993/6/1,6795
1993/5/1,6847
1993/4/1,6881
1993/3/1,6974
1993/2/1,6943
1993/1/1,6961
1992/12/1,7103
1992/11/1,7024
1992/10/1,7126
1992/9/1,7030
1992/8/1,6922
1992/7/1,7131
1992/6/1,7167
1992/5/1,7169
1992/4/1,7293
1992/3/1,7348
1992/2/1,7389
1992/1/1,7361
1991/12/1,7299
1991/11/1,7328
1991/10/1,7437
1991/9/1,7368
1991/8/1,7316
1991/7/1,7347
1991/6/1,7320
1991/5/1,7409
1991/4/1,7509
1991/3/1,7546
1991/2/1,7637
1991/1/1,7500
1990/12/1,7338
1990/11/1,7387
1990/10/1,7542
1990/9/1,7224
1990/8/1,7287
1990/7/1,7173
1990/6/1,7106
1990/5/1,7328
1990/4/1,7407
1990/3/1,7433
1990/2/1,7497
1990/1/1,7546
1989/12/1,7337
1989/11/1,7536
1989/10/1,7453
1989/9/1,7548
1989/8/1,7544
1989/7/1,7444
1989/6/1,7624
1989/5/1,7816
1989/4/1,7772
1989/3/1,7575
1989/2/1,7788
1989/1/1,7937
1988/12/1,7942
1988/11/1,8023
1988/10/1,8023
1988/9/1,7895
1988/8/1,8079
1988/7/1,8040
1988/6/1,8170
1988/5/1,8229
1988/4/1,8288
1988/3/1,8374
1988/2/1,8374
1988/1/1,8250
1987/12/1,8318
1987/11/1,8397
1987/10/1,8364
1987/9/1,8205
1987/8/1,8210
1987/7/1,8251
1987/6/1,8279
1987/5/1,8336
1987/4/1,8498
1987/3/1,8464
1987/2/1,8389
1987/1/1,8480
1986/12/1,8352
1986/11/1,8412
1986/10/1,8419
1986/9/1,8328
1986/8/1,8374
1986/7/1,8660
1986/6/1,8623
1986/5/1,8838
1986/4/1,8864
1986/3/1,9013
1986/2/1,9173
1986/1/1,9137
1985/12/1,9030
1985/11/1,8902
1985/10/1,8970
1985/9/1,8954
1985/8/1,8803
1985/7/1,8949
1985/6/1,9022
1985/5/1,9132
1985/4/1,9043
1985/3/1,9095
1985/2/1,9025
1985/1/1,8740
1984/12/1,8897
1984/11/1,8979
1984/10/1,8906
1984/9/1,8993
1984/8/1,8809
1984/7/1,8885
1984/6/1,8852
1984/5/1,8955
1984/4/1,8862
1984/3/1,8672
1984/2/1,8874
1984/1/1,8868
1983/12/1,8397
1983/11/1,8770
1983/10/1,8771
1983/9/1,8784
1983/8/1,8679
1983/7/1,8636
1983/6/1,8667
1983/5/1,8631
1983/4/1,8776
1983/3/1,8700
