"Month","U.S. Field Production of Crude Oil Thousand Barrels per Day"
2021-09-01,10809
2021-08-01,11189
2021-07-01,11330
2021-06-01,11288
2021-05-01,11334
2021-04-01,11230
2021-03-01,11160
2021-02-01,9773
2021-01-01,11056
2020-12-01,11084
2020-11-01,11121
2020-10-01,10413
2020-09-01,10868
2020-08-01,10558
2020-07-01,10956
2020-06-01,10420
2020-05-01,9711
2020-04-01,11911
2020-03-01,12816
2020-02-01,12826
2020-01-01,12785
2019-12-01,12910
2019-11-01,12966
2019-10-01,12771
2019-09-01,12572
2019-08-01,12475
2019-07-01,11896
2019-06-01,12179
2019-05-01,12141
2019-04-01,12125
2019-03-01,11899
2019-02-01,11653
2019-01-01,11848
2018-12-01,11924
2018-11-01,11868
2018-10-01,11488
2018-09-01,11422
2018-08-01,11373
2018-07-01,10888
2018-06-01,10628
2018-05-01,10424
2018-04-01,10493
2018-03-01,10461
2018-02-01,10276
2018-01-01,9996
2017-12-01,9979
2017-11-01,10077
2017-10-01,9659
2017-09-01,9516
2017-08-01,9245
2017-07-01,9246
2017-06-01,9110
2017-05-01,9184
2017-04-01,9103
2017-03-01,9168
2017-02-01,9109
2017-01-01,8873
