"date","month","new_death","new_case","conf_cases","tot_death"
2020-01-22,1月 2020,0,0,0,0
2020-01-23,1月 2020,0,1,1,0
2020-01-24,1月 2020,0,1,2,0
2020-01-25,1月 2020,0,0,2,0
2020-01-26,1月 2020,0,1,3,0
2020-01-27,1月 2020,0,0,3,0
2020-01-28,1月 2020,0,0,3,0
2020-01-29,1月 2020,0,0,3,0
2020-01-30,1月 2020,0,0,3,0
2020-01-31,1月 2020,0,1,4,0
2020-02-01,2月 2020,0,1,5,0
2020-02-02,2月 2020,0,3,8,0
2020-02-03,2月 2020,0,3,11,0
2020-02-04,2月 2020,0,0,11,0
2020-02-05,2月 2020,0,0,11,0
2020-02-06,2月 2020,0,0,11,0
2020-02-07,2月 2020,0,1,12,0
2020-02-08,2月 2020,0,0,12,0
2020-02-09,2月 2020,0,0,12,0
2020-02-10,2月 2020,0,0,12,0
2020-02-11,2月 2020,0,0,12,0
2020-02-12,2月 2020,0,1,13,0
2020-02-13,2月 2020,0,1,14,0
2020-02-14,2月 2020,0,0,14,0
2020-02-15,2月 2020,0,0,14,0
2020-02-16,2月 2020,0,0,14,0
2020-02-17,2月 2020,0,2,16,0
2020-02-18,2月 2020,0,5,21,0
2020-02-19,2月 2020,0,3,24,0
2020-02-20,2月 2020,0,1,25,0
2020-02-21,2月 2020,0,5,30,0
2020-02-22,2月 2020,0,6,36,0
2020-02-23,2月 2020,0,0,36,0
2020-02-24,2月 2020,0,4,40,0
2020-02-25,2月 2020,0,4,44,0
2020-02-26,2月 2020,0,8,52,0
2020-02-27,2月 2020,1,5,57,0
2020-02-28,2月 2020,0,4,61,0
2020-02-29,2月 2020,1,9,70,1
2020-03-01,3月 2020,0,18,88,1
2020-03-02,3月 2020,6,36,124,6
2020-03-03,3月 2020,3,64,188,9
2020-03-04,3月 2020,2,67,253,11
2020-03-05,3月 2020,3,79,331,13
2020-03-06,3月 2020,3,121,451,16
2020-03-07,3月 2020,5,159,608,21
2020-03-08,3月 2020,4,210,816,25
2020-03-09,3月 2020,4,424,1239,29
2020-03-10,3月 2020,7,490,1726,36
2020-03-11,3月 2020,12,519,2244,48
2020-03-12,3月 2020,7,757,2998,54
2020-03-13,3月 2020,11,918,3904,65
2020-03-14,3月 2020,13,1286,5182,78
2020-03-15,3月 2020,19,2204,7375,96
2020-03-16,3月 2020,21,2362,9718,116
2020-03-17,3月 2020,27,3328,13024,143
2020-03-18,3月 2020,67,4996,17991,208
2020-03-19,3月 2020,67,6290,24231,271
2020-03-20,3月 2020,96,7555,31724,361
2020-03-21,3月 2020,109,9340,41016,465
2020-03-22,3月 2020,126,10877,51850,587
2020-03-23,3月 2020,160,10773,62556,741
2020-03-24,3月 2020,215,11522,74013,949
2020-03-25,3月 2020,302,14263,88209,1235
2020-03-26,3月 2020,339,18894,107025,1556
2020-03-27,3月 2020,490,20161,127102,2022
2020-03-28,3月 2020,568,20673,147642,2545
2020-03-29,3月 2020,666,26281,173822,3158
2020-03-30,3月 2020,632,15763,189438,3732
2020-03-31,3月 2020,988,23382,212666,4652
2020-04-01,4月 2020,1125,28458,240911,5685
2020-04-02,4月 2020,1315,29997,270725,6909
2020-04-03,4月 2020,1382,31848,302360,8184
2020-04-04,4月 2020,1548,32443,334533,9549
2020-04-05,4月 2020,1879,27347,361611,11245
2020-04-06,4月 2020,1694,28394,389696,12739
2020-04-07,4月 2020,2103,30368,419729,14657
2020-04-08,4月 2020,2256,33603,452965,16672
2020-04-09,4月 2020,2210,35001,487622,18651
2020-04-10,4月 2020,2244,31976,519279,20682
2020-04-11,4月 2020,2221,32270,551228,22690
2020-04-12,4月 2020,1864,27677,578622,24347
2020-04-13,4月 2020,1904,24728,602870,26057
2020-04-14,4月 2020,2462,25288,627796,28319
2020-04-15,4月 2020,2716,25477,652837,30824
2020-04-16,4月 2020,2437,31883,684321,32885
2020-04-17,4月 2020,2337,29919,713983,35288
2020-04-18,4月 2020,1881,27577,741252,37031
2020-04-19,4月 2020,2013,27678,768595,38727
2020-04-20,4月 2020,2073,25622,792520,40503
2020-04-21,4月 2020,2645,25682,817792,42967
2020-04-22,4月 2020,2253,31602,849026,45045
2020-04-23,4月 2020,2016,33032,882804,47285
2020-04-24,4月 2020,2095,34155,916429,49205
2020-04-25,4月 2020,1852,33527,949585,50975
2020-04-26,4月 2020,1562,27196,975103,51957
2020-04-27,4月 2020,1514,23907,1000048,53906
2020-04-28,4月 2020,2120,23602,1021786,55401
2020-04-29,4月 2020,2438,27279,1048669,57709
2020-04-30,4月 2020,2222,32296,1080431,59881
2020-05-01,5月 2020,1928,30288,1112002,62330
2020-05-02,5月 2020,1600,28388,1140247,63886
2020-05-03,5月 2020,1434,27690,1165854,64604
2020-05-04,5月 2020,1253,21103,1186654,65755
2020-05-05,5月 2020,2436,23567,1209726,68104
2020-05-06,5月 2020,2327,24411,1235473,71051
2020-05-07,5月 2020,2116,30706,1263700,72360
2020-05-08,5月 2020,1615,28154,1293329,74695
2020-05-09,5月 2020,1479,26069,1317132,75328
2020-05-10,5月 2020,1091,21363,1338025,76430
2020-05-11,5月 2020,1077,19129,1356609,77500
2020-05-12,5月 2020,1529,24702,1380713,78976
2020-05-13,5月 2020,1507,17994,1398244,80418
2020-05-14,5月 2020,1946,34465,1432107,82288
2020-05-15,5月 2020,1550,27067,1458245,83798
2020-05-16,5月 2020,1221,25281,1483322,84958
2020-05-17,5月 2020,932,19028,1502047,85848
2020-05-18,5月 2020,950,24469,1526101,86704
2020-05-19,5月 2020,1184,21222,1546872,87849
2020-05-20,5月 2020,1363,24908,1571249,89127
