"","month","new_death","new_case","tot_cases","tot_death"
"1",Jan 2020,0,4,2,0
"2",Feb 2020,2,66,34,1
"3",Mar 2020,4972,213812,53601,1744
"4",Apr 2020,60381,879832,170128,18478
"5",May 2020,41764,743255,202346,22131
"6",Jun 2020,20624,865697,222917,22954
"7",Jul 2020,30627,1941901,493588,23263
"8",Aug 2020,30611,1474962,704085,23405
"9",Sep 2020,21801,1221702,810625,23530
"10",Oct 2020,24016,1939251,922005,23704
"11",Nov 2020,42007,4439467,1278432,24255
"12",Dec 2020,82386,6388165,2231552,31282
"13",Jan 2021,97693,6078083,3243348,41189
"14",Feb 2021,61673,2330199,3475562,51794
"15",Mar 2021,31867,1797303,3568426,57936
"16",Apr 2021,20707,1843238,3638132,60467
"17",May 2021,16242,894527,3685032,62025
"18",Jun 2021,9499,392076,3714813,63023
"19",Jul 2021,9413,1383168,3840364,63935
"20",Aug 2021,32798,4255925,4222663,65287
"21",Sep 2021,53332,4080344,4488848,68670
"22",Oct 2021,42334,2433059,4647587,71519
"23",Nov 2021,17477,1321872,4744517,72590
