"year","period","periodName","value","seriesID","item_name","date"
"2021","M10","October",155.317,"SUUR0000SA0","All items","2021-10"
"2021","M09","September",154.076,"SUUR0000SA0","All items","2021-09"
"2021","M08","August",153.643,"SUUR0000SA0","All items","2021-08"
"2021","M07","July",153.352,"SUUR0000SA0","All items","2021-07"
"2021","M06","June",152.649,"SUUR0000SA0","All items","2021-06"
"2021","M05","May",151.334,"SUUR0000SA0","All items","2021-05"
"2021","M04","April",150.15,"SUUR0000SA0","All items","2021-04"
"2021","M03","March",148.918,"SUUR0000SA0","All items","2021-03"
"2021","M02","February",147.877,"SUUR0000SA0","All items","2021-02"
"2021","M01","January",147.054,"SUUR0000SA0","All items","2021-01"
"2020","M12","December",146.408,"SUUR0000SA0","All items","2020-12"
"2020","M11","November",146.242,"SUUR0000SA0","All items","2020-11"
"2020","M10","October",146.382,"SUUR0000SA0","All items","2020-10"
"2020","M09","September",146.417,"SUUR0000SA0","All items","2020-09"
"2020","M08","August",146.27,"SUUR0000SA0","All items","2020-08"
"2020","M07","July",145.747,"SUUR0000SA0","All items","2020-07"
"2020","M06","June",144.847,"SUUR0000SA0","All items","2020-06"
"2020","M05","May",144.018,"SUUR0000SA0","All items","2020-05"
"2020","M04","April",144.142,"SUUR0000SA0","All items","2020-04"
"2020","M03","March",144.913,"SUUR0000SA0","All items","2020-03"
"2020","M02","February",145.193,"SUUR0000SA0","All items","2020-02"
"2020","M01","January",144.813,"SUUR0000SA0","All items","2020-01"
"2019","M12","December",144.251,"SUUR0000SA0","All items","2019-12"
"2019","M11","November",144.518,"SUUR0000SA0","All items","2019-11"
"2019","M10","October",144.629,"SUUR0000SA0","All items","2019-10"
"2019","M09","September",144.428,"SUUR0000SA0","All items","2019-09"
"2019","M08","August",144.388,"SUUR0000SA0","All items","2019-08"
"2019","M07","July",144.409,"SUUR0000SA0","All items","2019-07"
"2019","M06","June",144.243,"SUUR0000SA0","All items","2019-06"
"2019","M05","May",144.183,"SUUR0000SA0","All items","2019-05"
"2019","M04","April",143.926,"SUUR0000SA0","All items","2019-04"
"2019","M03","March",143.297,"SUUR0000SA0","All items","2019-03"
"2019","M02","February",142.571,"SUUR0000SA0","All items","2019-02"
"2019","M01","January",142.001,"SUUR0000SA0","All items","2019-01"
"2021","M10","October",215.9,"SUUR0000SA0E","Energy","2021-10"
"2021","M09","September",210.092,"SUUR0000SA0E","Energy","2021-09"
"2021","M08","August",208.759,"SUUR0000SA0E","Energy","2021-08"
"2021","M07","July",207.244,"SUUR0000SA0E","Energy","2021-07"
"2021","M06","June",203.853,"SUUR0000SA0E","Energy","2021-06"
"2021","M05","May",199.276,"SUUR0000SA0E","Energy","2021-05"
"2021","M04","April",194.056,"SUUR0000SA0E","Energy","2021-04"
"2021","M03","March",191.336,"SUUR0000SA0E","Energy","2021-03"
"2021","M02","February",180.679,"SUUR0000SA0E","Energy","2021-02"
"2021","M01","January",173.804,"SUUR0000SA0E","Energy","2021-01"
"2020","M12","December",167.531,"SUUR0000SA0E","Energy","2020-12"
"2020","M11","November",164.399,"SUUR0000SA0E","Energy","2020-11"
"2020","M10","October",166.153,"SUUR0000SA0E","Energy","2020-10"
"2020","M09","September",168.186,"SUUR0000SA0E","Energy","2020-09"
"2020","M08","August",167.032,"SUUR0000SA0E","Energy","2020-08"
"2020","M07","July",167.37,"SUUR0000SA0E","Energy","2020-07"
"2020","M06","June",163.974,"SUUR0000SA0E","Energy","2020-06"
"2020","M05","May",155.356,"SUUR0000SA0E","Energy","2020-05"
"2020","M04","April",155.162,"SUUR0000SA0E","Energy","2020-04"
"2020","M03","March",168.099,"SUUR0000SA0E","Energy","2020-03"
"2020","M02","February",175.056,"SUUR0000SA0E","Energy","2020-02"
"2020","M01","January",178.849,"SUUR0000SA0E","Energy","2020-01"
"2019","M12","December",178.73,"SUUR0000SA0E","Energy","2019-12"
"2019","M11","November",179.822,"SUUR0000SA0E","Energy","2019-11"
"2019","M10","October",181.255,"SUUR0000SA0E","Energy","2019-10"
"2019","M09","September",180.713,"SUUR0000SA0E","Energy","2019-09"
"2019","M08","August",182.005,"SUUR0000SA0E","Energy","2019-08"
"2019","M07","July",186.559,"SUUR0000SA0E","Energy","2019-07"
"2019","M06","June",185.508,"SUUR0000SA0E","Energy","2019-06"
"2019","M05","May",188.983,"SUUR0000SA0E","Energy","2019-05"
"2019","M04","April",186.258,"SUUR0000SA0E","Energy","2019-04"
"2019","M03","March",177.77,"SUUR0000SA0E","Energy","2019-03"
"2019","M02","February",170.727,"SUUR0000SA0E","Energy","2019-02"
"2019","M01","January",169.029,"SUUR0000SA0E","Energy","2019-01"
"2021","M10","October",147.878,"SUUR0000SA0L1E","All items less food and energy","2021-10"
"2021","M09","September",146.988,"SUUR0000SA0L1E","All items less food and energy","2021-09"
"2021","M08","August",146.758,"SUUR0000SA0L1E","All items less food and energy","2021-08"
"2021","M07","July",146.576,"SUUR0000SA0L1E","All items less food and energy","2021-07"
